Alberta Medieval Settlement, 403-689-9426, silverhorsejen@hotmail.com, , Box49152OgdenCalgaryABT2C3W5 
Millican Ogden Community Association & SE Calgary Community Resource Centre, 403-720-3322, contactus@secalgarycrc.ca, www.millicanogdencommunity.com, 273476AvenueSE690120ASTREETSECalgaryABT2C4W9 
LINKages Society of Alberta, 403-249-0853, miriam.bankey@link-ages.ca, www.link-ages.ca, 72028thStreetNE,Suite130CalgaryABT2A6R3 
Look Good Feel Better, 403-554-1118, mpilon@lgfb.ca, www.lgfb.ca, 100WindermereRdSWCalgaryABT3C3K5 
Made by Momma, 403-969-0401, volunteer@madebymomma.org, www.madebymomma.org, 6621StreetNWCalgaryABT2N4T9 
Mary's Meals Canada, 855-702-0330, Jill.Mowser@marysmeals.org, https://www.marysmeals.ca/en/get-involved/volunteer/, Home-basedand/orinyourlocalcommunityCanada-wideABT2Y2Z0 
Little Library's Food Drop-Off during COVID-19, 123-456-7890, littlelibrariescanbepantries@covid19providingfoodtothoseinneed.org, , 123410avecalgaryABT2T1G9 
Manor Village: Staywell Manor, 403-242-4688, ActivitiesB@sw.themanorvillage.com, , 174YpresGreenSWCalgaryABT2T6M2 
Mennonite Central Committee Alberta, 403-275-6935, officealberta@mccab.ca, , 210,294632stneCalgaryABT1Y6J7 
Mennonite Central Committee Alberta Circles of Support and Accountability (MCCA CoSA), 403-275-6935, cosa@mccab.ca, mccab.ca/cosa, 294632StreetNECalgaryABT1Y6J7 
Mission Thrift Store, 403-995-8099, okotoks_assistant@missionthriftstore.com, missionthriftstore.com, 216StocktonAveOkotoksABT1S1B7 
MEOW Foundation, 403-230-6033, volunteer@meowfoundation.com, www.meowfoundation.com, 35SkylineCresNECalgaryABT2K5X2 
Ethel M Johnson Fundraising Society, 403-701-9268, emjcouncil@gmail.com, , 255SackvilleDriveSWCalgaryABT2W0W7 
Momentum, 403-204-2697, volunteer@momentum.org, http://momentum.org/, 16-2936RadcliffeDrSE,MomentumCalgaryABT2A6M8 
major minor music project, 587-889-0978, gpaulmackenzie@hotmail.com, majorminormusic.org, variousvenuesCALGARYABT2B0P9 
Make A Wish Southern AB, 403-228-3666, april.cote@makeawish.ca, www.makeawishsa.ca, 230824STSWCalgaryCalgaryABT2T5H8 
McMan Youth Family & Community Services, 403-508-7752, darlene.petrie@mcman.ca, www.mcmancalgary.ca, 153825AvenueNECalgaryABT2E8Y3 
Making Changes Association, 403-262-5776, volunteer@makingchangesassociation.ca, www.makingchangesassociation.ca, 65161ASTSWCalgaryABT2H0G6 
Netball Alberta, 403-966-8041, contact@netballalberta.com, netballalberta.com, 2000SouthlandDrSWCalgaryABT2V4S4 
Mount Royal University - Transitional Vocational Program, 403-440-7246, osemm167@mtroyal.ca, , 4825MountRoyalGateSWRoomM-200CalgaryABT3E6K6 
Oladele Foundation, 403-880-6692, secondchance@oladele.ca, www.oladele.ca; www.thesecondchance.ca, 235,354532AveNE10307EamonRoodNWCalgaryABT1Y6M6 
One Voice Chorus, 403-630-3822, generalmanager@onevoicechorus.ca, www.onevoicechorus.ca, 112114AvenueSWCalgaryABT2R0P3 
National Music Centre, 403-476-1659, volunteers@nmc.ca, https://studiobell.ca, StudioBell850-4thStreetSECalgaryABT2G1P2 
New Brighton RA, 403-781-6613, recreation@nbra.ca, www.newbrighton-connect.com , 2NewBrightonDriveS.ECalgaryABT2Z4B2 
Nature Conservancy of Canada, 403-444-3548, alberta@conservationvolunteers.ca, http://www.natureconservancy.ca/en/what-you-can-do/conservation-volunteers/, 890105-12AveSECalgaryABT2G1A1 
MoMo Performance + disability, 403-452-1220, talia@momodancetheatre.org, momomovement.ca, 8038FairmountDriveSECalgaryABT2H0Y1 
Nest Foundation, 403-606-8869, events@canadianbusinesschicks.com, https://thenestfoundation.org/, Calgary,AlbertaCalgaryABT3B3Z2 
New Gallery, 403-233-2399, claire@thenewgallery.org, http://www.thenewgallery.org/, 208CentreStSECalgaryABT2G2B6 
Mood Disorders Society of Canada, 587-356-1816, SCcalgary@mdsc.ca, http://transitionstocommunities.ca/#, Suite14306055thAvenueSWCalgaryABT2P3H5 
MyCityCare Okotoks, 403-606-6812, okotoks@myvictory.ca, https://myvictory.ca/mycitycare/, OkotoksOkotoksABT1S1E5 
NECCS - Genesis Centre, 403-590-2833, mzahed@genesis-centre.ca, https://www.genesis-centre.ca/index.php, 7555FalconridgeBlvd.NECalgaryABT3J0C9 
NorthernStar Mothers Milk Bank (formerly Calgary Mothers' Milk Bank Association), 403-475-6455, contact@northernstarmilkbank.ca, www.northernstarmilkbank.ca, 6712FisherSt.S.E#160CalgaryABT2H2A7 
Okotoks Meals on Wheels, 403-498-7291, lwojcik001@gmail.com, , OkotoksMealsonWheelsSociety101CentreCourt,SandstoneLodgeOkotoksABT1S1V6 
Mustard Seed, 403-999-0193, volunteer@theseed.ca, , 102-11Ave.SE702544StSECalgaryABT2G0X5 
Oneball Charitable Cancer Organization, 403-690-9082, volunteer@oneball.ca, www.oneball.ca, #505,53510AvenueSWCalgaryABT2R0A8 
North East Family Connections, 403-293-0424, sholt@nefcs.ca, nefcs.ca, 95FalshireDriveNorthEast#704263138StreetN.E.and#14147RundlemereRdN.E.CalgaryABT3J1P7 
na, 403-618-8393, nagpal.caiffy@gmail.com, , 116SaddlecrestBlvdNECalgaryABT3J5G6 
Myositis Canada, 403-969-9115, president@myositis.ca, www.myositis.ca, 7724BownessRoadNWCalgaryABT3B0H1 
Never Alone Peer Support, 403-403-4034, neveralone.naps@gmail.com, naps.support, 419NorthmountDrNWCalgaryABT2K3H7 
Okotoks Public Library, 403-938-2220, kfraser@okotokslibrary.ca, okotokslibrary.ca, 7RiversideDriveW.OkotoksABT1S1A6 
Okotoks Arts Council, 403-995-2477, okotoksartscouncil.com@gmail.com, Okotoks Arts Council, Box149,OKOTOKSABT1S2A2 
Norfolk Housing Association, 403-270-3062, admin@norfolkhousing.ca, www.norfolkhousing.ca, 1118KensingtonRdNWCalgaryABT2N3P1 
Ovarian Cancer Canada, 403-277-9444, occcalgary@ovariancanada.org, ovariancanada.org, 1409EdmontonTrailNE,Suite105BCalgaryABT2E3K8 
Open Arms Patient Advocacy Society, 844-548-2747, mmorris@openarmsadvocacy.com, http://www.openarmsadvocacy.com/, CarewestDr.VernonFanning72216AveNECalgaryABT2E6V7 
PARK -Promoting artistsredifining culture, 587-433-3108, volunteer@ourparkonline.com, www.ourparkonline.com, 707FifthStreetSWCalgaryABT2P0Y3 
Prairie Sky Equine Assisted Therapy, 403-813-2076, volunteer.pseat@gmail.com, http://www.pseat.ca, 250079RangeRoad32CalgaryABT3Z1H1 
Pheasants Forever Calgary, 403-995-9960, margo@pfcalgary.ca, www.pfcalgary.ca, DeerfootInnandCasino1150035StSE#1000CalgaryABT2Z3W4 
People for Progress Foundation, 403-605-5563, admin@peopleforprogress.net, peopleforprogressfoundation.com, 303-22890thAveSECalgaryABT2J6P6 
Project Green Villages Africa Institute, 403-473-3679, augustine44pgvai@gmail.com, https://www.pgvai.org, #101,328-10AStreet,NW,CalgaryABT2N1W6 
Prominence Way Retirement Living, 403-727-9400, lifestyle@ProminenceWayRetirement.com, www.prominencewayretirement.com, 905ProminenceWaySWCalgaryABT3H6A8 
Peer Mediation And Skills Training, 403-229-2762, rvlang@aol.com, www.pmast.org, VariouslocationsCalgaryABT2S0H6 
PREP Program, 403-282-5011, curtis@prepprog.org, http://www.prepprog.org/, 200412AveNWCalgaryABT2N1J7 
Open Door Seniors, 403-269-7900, opendoorseniors@gmail.com, , 1307-4StSW(Doorlocatedinthebreezewaybetween1307and1311-4StSW)CalgaryABT2R0X9 
Potential Place Society, 403-216-9253, andrea.taylor@potentialplace.org, www.potentialplace.org, 110-9998StreetSWCalgaryABT2R1J5 
Pregnancy & Infant Loss Support Centre, 403-473-6767, info@pregnancyinfantlosssupportcentre.com, www.pregnancyinfantlosssupportcentre.com, 420780AveNECalgaryABT3J4B9 
Ploughshares Calgary Society, 403-270-7366, office@ploughsharescalgary.ca, www.ploughsharescalgary.ca, 2919-8AveNWCalgaryABT2N1C8 
Peace Africa Alliance Consulting, Educating and Training Centre (PAACET), 403-803-5320, janyce.konkin@paacet.org, www.paacet.org, 2919-8thAvenueN.W.ClosetodowntowninNWCalgaryCalgaryABT2N1C8 
Perfect Attendance Foundation, 403-992-1203, info@PerfectAttendance.ca, https://perfectattendance.ca/, FromYourHomeCalgaryABT3C3X7 
Parkhill Stanley Park Community Association, 403-243-6211, vicepresident@parkhillstanleypark.ca, http://www.parkhillstanleypark.ca, 4013StanleyRoadSWCalgaryABT2S2P5 
Pathways Community Services Association, 403-247-5003, board@pathwayscsa.org, www.pathwayscsa.org, #102,691932AveNWCalgaryABT3B0K6 
Propellus (the Volunteer Centre of Calgary), 403-265-5633, info@propellus.org, http://www.propellus.org, 8025920MacleodTrailSWCalgaryABT2H0K2 
Pride Calgary, 403-536-4077, volunteer@calgarypride.ca, www.calgarypride.ca, PrincesIslandParkCalgaryABT2P2K9 
Operation Eyesight Canada, 403-670-2622, macnicolb@operationeyesight.com, www.operationeyesight.com, 200-4ParkdaleCresNWCalgaryABT2N3T8 
Parkinson Association of Alberta, 403-243-9901, volunteer@parkinsonassociation.ca, www.parkinsonalberta.ca, 1206835RailwayStSECalgaryABT2H2V6 
PALS Pet Access League Society, 403-250-7257, info@palspets.com, palspets.com, 3019-21StreetNECalgaryABT2E7T1 
Outdoor Council of Canada, 587-437-4037, kate.hamilton@outdoorcouncil.ca, www.outdoorcouncil.ca, 365536stNWCalgaryABT2L1Y8 
Ranche at Fish Creek Restoration Society, 403-460-1374, info@bowvalleyranche.com, www.bowvalleyranche.com, 315DeercliffRd.SE.CalagryABT2J5K6 
RTA Parent Association, 403-777-7520, volunteers.rta@gmail.com, , 725MapletonDrSECalgaryABT2J1S1 
Roots of Empathy Calgary, 403-402-3407, claudia.almiron@outlook.com, rootsofempathy.org, 250FerrandDrive,Suite1501TorontoONT2Y2C3 
Prostate Cancer Centre, 403-943-8869, linda.m@prostatecancercentre.ca, www.prostatecacnercentre.ca, 6500-7007-14StSWCalgaryABT2V1P9 
Pumphouse Theatre Society, 403-263-0079, operations@pumphousetheatre.ca, http://www.pumphousetheatre.ca, 2140PumphouseaveswCalgaryABT3C3P5 
Ride to Conquer Cancer, 403-775-4676, albertaridecrew@conquercancer.ca, https://ride.conquercancer.ca/alberta19/rider-hub/crew-and-volunteer/, TBACalgaryABT2P3H6 
RESET Society of Calgary, 403-205-5544, info@resetcalgary.ca, www.resetcalgary.ca , 260,7220FisherStSECalgaryABT2H2H8 
Providence Child Development Society, 403-255-5577, sjarrett@providencechildren.com, www.providencechildren.com, 5232-4thSt.SWCalgaryABT3C2W1 
Prospect Human Services, 403-835-6757, lindsay.rawding@prospectnow.ca, www.prospectnow.ca, (variouslocations)basedat91533rdStNECalgaryABT2A6T2 
PROSTAID Calgary, 403-455-1916, info@prostaidcalgary.org, www.ProstaidCalgary.org, 11337thAveSWCalgaryABT2P1B2 
Quest Theatre Society, 403-264-8575, olivia@questtheatre.org, www.questtheatre.org, 172129AvenueSWSuite#325CalgaryABT2T6T7 
Pumphouse Theatres Society, 403-263-0079, operations@pumphousetheatre.ca, http://pumphousetheatre.ca/, 2140PumphouseAveSWCalgaryABT3C3P5 
Ranchlands Community Association, 403-241-0335, ranchlandscommunity@outlook.com, http://ranchlandscommunity.com/, 7713RanchviewDriveNWCalgaryABT3G2B3 
Rowan House Society, 403-603-5982, volunteer@rowanhouse.ca, www.rowanhouse.ca, HighRiverHighRiverABT1S1M3 
Rosscarrock Hall, 403-242-0212, info@rosscarrock.org, www.rosscarrock.org, 441110AveSWCalgaryABT3C0L9 
Royal City Soccer Club, 800-427-0536, larissa@royalsoccer.com, https://royalsoccer.com/alberta/, POBox30371,RPOChinookCalgaryABT2H2W1 
Rundle School Association of Calgary, 403-975-2525, masterfantuz@gmail.com, , 4120RundlehorndriveNECalgaryABT1Y4W9 
Rethink Breast Cancer, 403-604-1175, janna@smittenweddings.com, https://rethinkbreastcancer.com/rethink-events/boobyball/, HyslopDriveSWCalgaryABT2V3A2 
Ribbon Rouge Foundation, 403-390-8904, info@woezoafrica.com, www.woezoafrica.com, 2058thAvenueS.E.CalgaryABT2G0K9 
Rockyview General Hospital, 403-943-3861, rghvolunteer.resources@ahs.ca, , 700714StreetSWCalgaryABT2V1P9 
The Rainbow Society of Alberta, 780-469-3306, roxanneh@rainbowsociety.ab.ca, https://rainbowsociety.ab.ca, Box1153StationMainCalgaryABT2P2K9 
Quickdraw Animation Society, 403-261-5767, info@quickdrawanimation.ca, www.quickdrawanimation.ca, 201110AveSWCalgaryABT3C0K4 
Run For Little Ones, 604-721-5190, taltanne@ucalgary.ca, runforlittleones.org, 890048AveNWCalgaryABT3B2B2 
Roman Catholic Diocese of Calgary, 403-218-5531, samantha.jones@calgarydiocese.ca, https://www.catholicyyc.ca/, 12017AveSWCalgaryABT2S2T2 
Safe Haven Foundation of Canada, 403-612-1885, carolyn@safehavenfoundation.ca, www.safehavenfoundation.ca, VariouslocationsCalgaryABT2V1K2 
Scottish Rite Charitable Foundation Learning Centre, 403-818-5151, davidhochman337@gmail.com, www.srcf.ca                       www.srcflcc.org, unit103,2915-21stStreetN.E.CalgaryABT2E7T1 
Seniors Secret Service Society, 403-257-8339, coordinator@seniorssecretservice.com, www.seniorssecretservice.com, 4534ManillaRdSECalgaryABT2G4B7 
Seniors for Kids, 403-861-4558, info@seniorsforkids.ca, seniorsforkids.ca, Box5,Site13,RR1CochraneABT4C1A1 
Shaganappi Nordic Operations Club (SNO), 403-390-1037, allandhicks@gmail.com, Shaganappi Nordic Operations Club-SNO, 3927-12thAveS.W.Alb.CalgaryABT3C0S9 
Seniors on the Bow of Cochrane and Area Society, 403-932-6002, sotbcentre@gmail.com, http://www.cochrane.ca/seniors, 2ndFloor,800GriffinRoadEastCochraneABT4C1B1 
Share the goods., 123-456-7890, hello@sharethegoods.ca, https://www.instagram.com/share.the.goods/, nophysicaladdresscalgaryABT2T1G9 
Sagesse Domestic Violence Prevention Society (D.B.A.: Sagesse), 403-234-7337, amy@sagesse.org, , 240,1509CentreStreetSWCalgaryABT2G2E6 
Sewing Seeds Canada, 403-804-7155, grams.kelly@gmail.com, sewingseedscanada.com, 41235AveNECalgaryABT2E2K7 
SIDS Calgary Society, 403-265-7437, sidscalgarysociety@gmail.com, https://sidscalgary.ca/, P.O.Box84084RPOMarketMallCalgaryABT3A5C4 
Sankofa, 403-805-5334, sankofacalgary@gmail.com, m.me/sankofafoundation, 1709-8thAveNECalgaryABT2E0S9 
RVS Adult Learning, 403-945-4114, tklappe@rockyview.ab.ca, https://adultlearning.rockyview.ab.ca, 2651ChinookWindsDr.S.W.AirdrieABT4B0B4 
SHARP Foundation, 403-272-2912, d.kawooya@thesharpfoundation.com, www.theSHARPfoundation.com, 5717-2StreetSW,SuiteA023CalgaryABT2H0A1 
Salvation Army Community Services (Calgary), The, 403-410-1109, jamie.hogg@salvationarmycalgary.org, www.salvationarmycalgary.org, TheSalvationArmyCentreofHope420-9thAvenueSECalgaryABT2G0R9 
Second Story Art Society (TRUCK Contemporary Art in Calgary), 403-261-7702, engagement@truck.ca, www.truck.ca/, 200910AveSWCalgaryABT3C0K4 
Shock Trauma Air Rescue Service (STARS) Foundation, 403-516-2762, volunteer@stars.ca, stars.ca, 1441AviationParkNECalgaryABT2E8M7 
Silvera for Seniors (formerly MCF Housing for Seniors), 403-472-5174, volunteer@silvera.ca, www.Silvera.ca, 1171BowValleyLaneNECalgaryABT2E8B1 
Simply Compassion Advocacy Society, 403-560-4403, simplycompassionadvocacy@gmail.com, www.seniorcareokotoks.com, 21SheepRiverHeathOkotoksOkotoksABT1S1T7 
Sanctuary Coffee (at Knox United Church), 403-269-8382, volunteer@sanctuary4yyc.com, sanctuarycoffeeyyc.com, SanctuaryCoffee(atKnoxUnitedChurch)5064thStSWCalgaryABT2P1S7 
Silver Linings Foundation, 403-536-4025, hello@silverliningsfoundation.ca, www.silverliningsfoundation.ca, Home-based(volunteer'slocation)CalgaryABT2T1Z5 
Salem Acres Bible camp, 403-773-2226, camps@salemacres.ca, https://www.salemacres.ca/, SalemAcresBibleCampP.O.Box84129MarketMallRPOCalgaryABT3A5C4 
Science Alberta Foundation, 587-227-2817, crothwell@mindfuel.ca, , 351233StreetNorthwest,#Suite260#Suite260CalgaryABT2L2A6 
Sage Theatre Society, 403-264-7243, volunteer@sagetheatre.com, http://sagetheatre.com, VariousCalgaryABT2N4S6 
Shakespeare Company Theatre in the Round Guild, 403-852-2273, ayla@shakespearecompany.com, www.shakespearecompany.com, VertigoTheatre-Studio161,1159thAveSECalgaryABT2G0P5 
Springbank Hill Community Association, 403-461-6458, info@springbankhill.org, springbankhill.org, VariouslocationswithinourcommunityofSpringbankHillCalgaryABT3H5N1 
STEAM360 Canada Foundation, 306-914-1718, info@steam360foundation.ca, www.steam360foundation.ca, 355331StNWCalgaryABT2L2K7 
Structured Abstraction, 403-472-2611, info@structuredabstraction.com, https://www.structuredabstraction.com, 5096ASTNECalgaryABT2E4A8 
Strathcona Christie Aspen Community Association, 403-249-1138, info@scacalgary.ca, www.scacalgary.ca, 277StrathconaDrSWCalgaryABT3H2A4 
Spirit West Historical Country Music Association, 403-990-1020, steve.schledt@outlook.com, , CalgaryCalgaryABT3E4H2 
STARDALE WOMEN'S GROUP, 403-903-5328, laurensbohorquez@gmail.com, Www.stardale.org, SunLifePlaza-WestTower2600,144-4AvenueSWCalgary,Alberta,CanadaT2P3N4CalgaryABT2X0Z7 
Springboard Performance, 780-860-4598, volunteer@springboardperformance.com, springboardperformance.com, 11112AveSECalgaryABT2G0Z9 
Sonshine Community Services, 403-705-3490, weaglespeaker@sonshine.ca, www.sonshine.ca, westbrookCalgaryABT3C2W2 
Start2Finish Canada, 587-435-6056, eryn.wahl@start2finishonline.org, https://www.start2finishonline.org/, BowcroftElementary394073StNWCalgaryABT3B2L9 
SouthWest Communities Resource Centre, 403-238-9222, programs@swcrc.ca, www.swcrc.ca, 42,2580SouthlandDriveS.W.CalgaryABT2V4J8 
Spirit Winds Ranch, 403-999-7763, laurel@spiritwindsranch.ca, http://spiritwindsranch.ca/, Property#54101TWPRoad270CochraneABT4C1A7 
Spinal Cord Injury Association Alberta, 403-228-7434, marilyn.erho@sci-ab.ca, www.sci-ab.ca, #10856563StreetSWCalgaryABT2H1H7 
Spruce Cliff Community Association, 403-862-0848, joegentile.yyc@gmail.com, www.Sprucecliff.org, 3375SpruceDriveSWCalgaryABT3C3A3 
Sunrise Community Link Resource Centre Society, 403-204-8280, info@sunriselink.org, https://www.sunriselink.org/, 330317thAvenueSECalgaryABT2A0R2 
Strongest Oak Foundation, 403-803-3820, ahernmarlene@yahoo.ca, http://www.thestrongestoak.org/, 61ValleyWoodsWayNWCalgaryABT3B6A2 
STARS Air Ambulence, 403-516-2762, MCruttenden@stars.ca, https://stars.ca/volunteer, 1441AviationParkNortheastCalgaryABT2E7G1 
Stroke Recovery Association of Calgary (SRAC), 587-438-8492, calgary.aphasia.centre@gmail.com, www.calgaryaphasia.com, variousvenuesinallquadrantsofCalgaryCalgaryABT2H1X1 
Sinneave Family Foundation (The Ability Hub), 403-210-5000, info@sinneavefoundation.org, www.sinneavefoundation.org, 300,382024thAveNWCalgaryABT3B2X9 
St. John Ambulance - Calgary Community Services, 403-250-2922, alicia.hudson@sja.ca, https://stjohn.ab.ca/community-services/, 723610StreetNECalgaryABT1X1T1 
Sport Calgary, 403-984-0973, events@sportcalgary.ca, https://www.sportcalgary.ca, 2424AuniversityDriveNWCalgaryABT2N3Y9 
Special Olympics Calgary, 403-735-1022, karen@specialolympicscalgary.ca, www.specialolympicscalgary.ca, #142180PegasusWayNECALGARYABT2E8M5 
Societe des parents de lecole la mosaïque, 514-803-0954, arielnanayalejandro@gmail.com, , 199martindale.blvdneCalgaryABT3J3G4 
stockmen's memorial cochrane, 403-932-3782, library@smflibrary.ca, http://www.smflibrary.ca/, 101RancheHouseRdCochraneABT4C2K8 
Social Progressives of Alberta, 403-404-3221, canadianmla@gmail.com, , 323719AveSECalgaryABT2B0A4 
Valour Canada, 403-685-2660, contact@valourcanada.ca, , 182024StSWCalgaryABT3M2E4 
University of Calgary Conjoint Faculties Research Ethics Board, 403-220-2297, cfreb@ucalgary.ca, , 2500UniversityDriveNWCalgaryABT2N1N4 
SupportWorks Inc., 403-305-4465, volunteers@supportworks.ca, www.supportworks.ca, 22312thAvenueSWCalgaryABT2R0G9 
Sustainable Alberta Association, 403-230-9395, kathryn.winkler@shaw.ca, https://commuterchallenge.ca, 223-12AveSWCalgaryABT2R0G9 
Synergy, 403-212-0242, involved@yoursynergy.ca, www.yoursynergy.ca, 101-340MerganserDr.WChestermereABT1X1L6 
TELUS Spark, 403-817-6839, volunteer@sparkscience.ca, http://sparkscience.ca/, 220St.GeorgesDriveNECalgaryABT2E5T2 
United Nations Association in Canada, Calgary Branch, 403-123-4567, info@unaccalgary.com, http://cal.unac.org/, DependsontheeventCalgaryABT2E1P9 
The Terry Fox Foundation- Alberta, 403-212-1336, oscar.andrade@terryfoxrun.org, https://www.terryfox.org/, TheTerryFoxFoundationUnitA16-61202ndStreetSE(2ndfloor)CalgaryABT2H2L8 
Twins, Triplets and More Association of Calgary, 403-922-0262, pastpresident@ttmac.org, www.ttmac.org, 7555FalconridgeBlvdNETheGenesisCentreCalgaryABT3G1Z3 
Tudor Manor (Brenda Strafford Foundation)- Calgary, 403-995-6811, sherry.little@thebsf.ca, , TudorManor200SandstoneDrOkotoksABT1S1R1 
TEDxYYC, 111-111-1111, volunteer@tedxyyc.com, https://tedxyyc.ca/, 600,6308AveSWCalgaryABT2P1G6 
University of Calgary Students' Union - Volunteer Services, 403-220-3092, volunteer@su.ucalgary.ca, su.ucalgary.ca/vs, 251MacEwanStudentCentre,2500UniversityDriveNWCalgaryABT2N1N4 
Town of Okotoks Volunteer Services, 403-938-8936, volunteer@okotoks.ca, https://www.okotoks.ca/discover-okotoks/get-involved/volunteer-resource-centre/volunteer-application-form, P.O.Box20StnMainOkotoksABT1S0B9 
Variety -the Children's Charity of Alberta Association, 403-466-1630, larry.horeczy@varietyalberta.ca, www.varietyalberta.ca, VariousLocationsCalgaryABT2S1W2 
Terry Fox Foundation- Calgary, 403-212-1336, dianne.dame@terryfoxrun.org, terryfox.org, A16,61202ndStreetSECalgaryABT2H2L8 
United Way of Calgary and Area, 403-231-6265, hr@calgaryunitedway.org, www.calgaryunitedway.org, #600,10512AveSECalgaryABT2G1A1 
University of Calgary (Alumni), 403-220-7546, alumnivolunteers@ucalgary.ca, http://bttr.im/b0b7j, 906-8AveSWUCalgaryDowntownCampusCalgaryABT2P1H9 
Unmasking the Reality of Lung Cancer, 403-801-5000, unmaskinglungcancercalgary@gmail.com, , 100263914AveSWCalgaryABT2R1H9 
Terminator Foundation, 587-899-6800, vanisha@terminatorfoundation.com, http://terminatorfoundation.com/, 480AuburnBayAveSECalgaryABT3M1T1 
THIRD ACTion Film Festival Limited, 403-561-2765, mitzi@thirdactionfilmfest.ca, thirdactionfilmfest.ca, 427-8AStreetNECalgaryABT2E4J2 
Ultimate Wheelchair Sports Foundation, 403-909-6576, info.parasports@gmail.com, https://www.ultimateparasports.com, 161037thStreetSWCalgaryABT3C3W2 
Symons Valley Park, 403-991-2405, president@symonsvalleypark.ca, www.symonsvalleypark.ca, POBox47107CreeksideCalgaryABT3P0A0 
This is My City Art Society, 403-519-3614, thisismycity.calgary@gmail.com, http://thisismycitycalgary.ca/, ThisisMyCityArtSociety#32,223-12AvenueSWCalgaryABT2R0G9 
Triwest Soccer, 403-616-0753, info@triwestsoccer.com, http://triwestsoccer.com/, 282828StreetSWCalgaryABT3E2J3 
World Youth Education and Empowerment, 000-000-0000, info@worldyoutheducation.org, https://worldyoutheducation.org/, LivingstonViewNECalgaryABT3P0Z5 
WinSport Canada (formerly Calgary Olympic Development Asso), 403-247-5409, mmungarlumley@winsport.ca, www.winsport.ca, 88CanadaOlympicRoadSWCalgaryABT3B5R5 
Wellspring Calgary SE, 587-747-0260, nikif@wellspringcalgary.ca, www.wellspringcalgary.ca , 120,70364thAveSECalgaryABT2H2C3 
Vecova Centre for Disability Services and Research, 403-284-1121, slupas@vecova.ca, vecova.ca, 330433rdStNWCalgaryABT2L2A6 
Wings of Hope Breast Cancer Foundation, 403-815-2702, info@wings-of-hope.com, www.wings-of-hope.com, POBox84007MarketMall3625ShaganappiTrailNWCalgaryABT3A5C4 
We're Together Ending Poverty (WTEP), 403-277-1957, rosemarybrown@shaw.ca, https://wtepyyc.wordpress.com    parts still under construction, 394St.N.E.CalgaryABT2E3R6 
WP Puppet Theatre Society, 403-619-2501, admin@wppuppet.com, http://www.wppuppet.com, Box61116KensingtonPOCalgaryABT2N4S6 
Women in Need Society of Calgary, 403-255-5102, volunteer@womeninneed.net, www.womeninneed.net, #1,352526AvenueSECalgaryABT2B2M9 
Westmount Charter School Society, 403-217-3707, karen.shaul@westmountcharter.com, www.westmountcharter.com, 728-32StreetNWCalgaryABT2N2V9 
Varsity Community Association, 403-288-9001, info@vcacalgary.com, www.vcacalgary.com, 4303VarsityDrNWCalgaryABT3A0Z7 
Wellspring Calgary NW , 403-521-5292, nancybc@wellspringcalgary.ca, www.wellspringcalgary.ca, 1404HomeRd.NWCalgaryABT3B1G7 
Youth Central, 403-266-5448, info@youthcentral.com, www.youthcentral.com, #820,105-12AveSECalgaryABT2G1A1 
We Did It! School-Age Care Society, 403-663-0742, info@wediditschoolagecare.com, www.wedidit.ca, 18StrathleaGroveSWCalgaryABT3H5C5 
Women's Centre of Calgary, 403-264-1155, sandra@womenscentrecalgary.org, http://www.womenscentrecalgary.org, 394StreetNECalgaryABT2E3R6 
Westwinds Communities, 403-652-8600, cadmin@westwindscommunities.ca, www.westwindscommunities.ca , 833-9StreetSWHighRiverABT1S1W5 
Will For Riding Foundation, 403-470-0649, VolunteerWFRF@Gmail.com, http://www.willforridingfoundation.com/, 123TimberstoneCrtSWCalgaryABT3Z3M6 
Wood's Homes, 403-270-1750, avemaria.beltran@woodshomes.ca, www.woodshomes.ca, 80537StreetNWCalgaryABT2N4N8 
YouQuest Young Onset Dementia Association, 403-255-7018, volunteer@youquest.ca, www.YouQuest.ca, SAITRecreation:WellnessCentreCalgaryABT2M0L4 
Youths Can Fish 2, 403-719-0723, youthscanfish2@shaw.ca, www.youthscanfish2.ca, SaddlebrookPlaceNECalgaryABT3J5M3 
Venturers Society of Calgary, 403-278-8774, vensoc2@shaw.ca, venturers.ca, FishCreekProvincialParkCalgaryABT2P2M7 
Volunteer Cochrane/FCSS, 403-851-2250, Renita.Bartlett@cochrane.ca, https://www.cochrane.ca/391/FCSS, 209SecondAvenueWCochraneABT4C2K8 
Young Women in Energy, 403-836-7718, volunteer@youngwomeninenergy.com, www.youngwomeninenergy.com, 600,6308AvenueSWCalgaryABT2P1G6 
Vibrant Communities Calgary, 403-283-2193, info@vibrantcalgary.com, www.vibrantcalgary.com, 400,119-14StNWCalgaryABT2N1Z6 
YMCA Calgary, 403-542-5377, volunteer@calgary.ymca.ca, https://www.ymcacalgary.org/, 1013rdStSWCalgaryABT3G3S3 
Youth Singers of Calgary, 403-234-9549, volunteer@youthsingers.org, youthsingers.org, 1371HastingsCresSECalgaryABT2G4C8 
YW Calgary, 403-750-5358, swilmot@ywcalgary.ca, , 171517thAvenueSECalgaryABT2G5J1 
YYC Net Lab, 403-836-7593, info@yycnetlab.org, http://www.yycnetlab.org/, 14704DeerRidgeDrSECalgaryABT2J5Y4 
